City,Country Code,Lat [deg],Long [deg],Temperature [F],Humidity [%],Cloudiness [%],Wind Speed [mph]
bluff,nz,-46.6,168.33,294.26,54,23,1.34
port alfred,za,-33.59,26.89,292.04,97,1,1.34
ushuaia,ar,-54.8,-68.3,281.15,93,68,2.3
bredasdorp,za,-34.53,20.04,287.15,82,8,1
punta arenas,cl,-53.15,-70.92,282.1,70,57,7.2
hobart,au,-42.88,147.33,286.61,47,75,6.2
albany,au,42.6,-73.97,276.58,64,90,8.7
mataura,pf,-46.19,168.86,294.26,54,0,1.34
cape town,za,-33.93,18.42,288.83,93,90,2.6
vaini,to,-21.2,-175.2,300.15,83,75,6.7
new norfolk,au,-42.78,147.06,286.47,47,75,6.2
rikitea,pf,-23.12,-134.97,298.21,74,24,5.52
hermanus,za,-34.42,19.23,288.71,94,0,0.45
port elizabeth,za,-33.92,25.57,291.15,100,90,5.7
busselton,au,-33.65,115.33,297.52,32,100,1.59
kaitangata,nz,-46.28,169.85,285.92,84,0,3.91
east london,za,-33.02,27.91,295.39,86,8,7.12
saint-philippe,re,-21.36,55.77,296.82,94,75,7.7
mar del plata,ar,-38,-57.56,295.64,78,0,5.1
avarua,ck,-21.21,-159.78,303.15,70,8,1.5
kruisfontein,za,-34,24.73,290.49,94,4,2.36
cidreira,br,-30.18,-50.21,297.24,89,0,6.99
castro,cl,-24.79,-50.01,289.04,76,97,1.74
tuatapere,nz,-46.13,167.68,294.26,54,68,1.34
souillac,mu,-20.52,57.52,296.76,100,75,3.45
portland,au,45.52,-122.68,276.68,80,90,1.5
port lincoln,au,-34.73,135.87,289.99,62,62,7.59
mount gambier,au,-37.83,140.77,290.15,48,90,8.2
rawson,ar,-43.3,-65.1,290.37,59,67,13.26
mahebourg,mu,-20.41,57.7,296.76,100,75,3.45
arraial do cabo,br,-22.97,-42.03,298.33,86,0,5.19
jamestown,sh,42.1,-79.24,276,55,1,3.6
coihaique,cl,-45.58,-72.07,283.15,66,40,2.59
dunedin,nz,-45.87,170.5,290.93,63,0,3.58
comodoro rivadavia,ar,-45.87,-67.5,291.15,59,40,8.2
southbridge,nz,42.08,-72.03,279.97,52,1,8.7
esperance,au,-33.87,121.9,292.15,88,75,6.2
burnie,au,-41.07,145.92,289.26,43,16,1.79
waipawa,nz,-41.41,175.52,292.71,49,0,6.2
te anau,nz,-45.42,167.72,288.45,62,100,2.23
saldanha,za,-33.01,17.94,290.15,88,51,1
launceston,au,-41.45,147.17,288.71,41,90,3.6
ancud,cl,-41.87,-73.82,282.15,100,6,2.1
margate,za,51.38,1.39,280.11,87,100,5.7
batemans bay,au,-35.72,150.18,288.54,55,100,4.02
chuy,uy,-33.7,-53.46,294.71,82,0,5.25
waiouru,nz,-39.48,175.67,294.94,32,0,2.25
hokitika,nz,-42.72,170.97,289.81,74,0,4.02
tolaga bay,nz,-38.37,178.3,291.35,72,57,5.24
punta alta,ar,-38.88,-62.07,295.89,52,30,13.4
bahia blanca,ar,-38.72,-62.27,296.31,48,49,7.75
lebu,cl,-37.62,-73.65,282.92,94,0,1.78
richards bay,za,-28.78,32.04,298.2,84,67,7.39
dargaville,nz,-35.93,173.88,295.14,54,90,2.7
luderitz,na,-26.65,15.16,292.15,82,0,3.6
san rafael,ar,-34.62,-68.33,295.4,39,0,4.16
avera,pf,33.19,-82.53,293.48,88,90,2.25
bambous virieux,mu,-20.34,57.76,296.79,100,75,5.26
carmelo,uy,-33.99,-58.29,298.68,88,0,2.6
plettenberg bay,za,-34.05,23.37,291.41,92,4,1.87
port macquarie,au,-31.43,152.92,298.97,64,75,5.7
flinders,au,-34.58,150.86,285.94,82,90,3.1
ahipara,nz,-35.17,173.17,293.84,69,78,3.08
griffith,au,41.53,-87.42,278.5,45,1,3.1
valparaiso,cl,-33.04,-71.63,289.72,82,0,2.07
constitucion,cl,-35.33,-72.42,287.16,81,28,3.11
vredendal,za,-31.67,18.5,286.6,93,38,1.01
perth,au,-31.93,115.83,299.31,47,100,5.7
sawtell,au,-30.38,153.1,297.32,57,0,5.1
santana do livramento,br,-30.89,-55.53,298.62,40,0,3.13
port augusta,au,-32.5,137.77,293.18,39,90,7.2
de aar,za,-30.65,24.01,289.59,81,0,3.29
coquimbo,cl,-29.95,-71.34,289.15,87,50,1
alofi,nu,-19.06,-169.92,302.15,79,75,3.6
cordoba,ar,-31.41,-64.18,298.52,88,1,2.6
kaeo,nz,-35.1,173.78,294.82,68,0,3.13
geraldton,au,-28.77,114.6,303.15,45,90,9.3
carnarvon,au,-24.87,113.63,302.15,74,40,5.1
catamarca,ar,-28.47,-65.79,290.17,69,100,2
sobradinho,br,-12.83,-39.1,295.61,91,22,0.84
imbituba,br,-28.24,-48.67,298.15,61,20,2.6
inhambane,mz,-23.86,35.38,298.63,81,100,2.2
vrede,za,-27.43,29.17,284.42,77,88,0.86
lavumisa,sz,-27.31,31.89,293.83,97,77,1.32
yulara,au,-25.24,130.99,307.15,18,0,6.2
kuruman,za,-27.45,23.43,287.27,83,0,2.21
vallenar,cl,-28.57,-70.76,289.52,73,100,0.24
maputo,mz,-25.97,32.59,298.41,88,40,3.1
gold coast,au,-28,153.43,300.69,50,90,7.2
alice springs,au,-23.7,133.88,305.15,25,0,3.6
tucuman,ar,-26.82,-65.22,301.15,74,100,2.21
roma,au,43.21,-75.46,277.13,51,75,11.8
guaruja,br,-23.99,-46.26,295.69,83,90,3.1
vila velha,br,-20.33,-40.29,297.1,94,75,1.5
vao,nc,-22.67,167.48,299.03,89,100,5.05
iguape,br,-24.71,-47.56,292.9,99,6,0.83
werda,bw,-25.27,23.28,292.86,66,0,3.63
saint-joseph,re,-21.37,55.62,296.84,94,75,7.7
puerto ayora,ec,-0.74,-90.35,299.82,84,53,2.68
blackwater,au,-23.58,148.88,301.45,39,0,8.53
isangel,vu,-19.55,169.27,306.15,63,40,4.1
henties bay,na,-22.12,14.28,289.82,95,0,1.73
aranos,na,-24.13,19.12,293.95,19,6,3.08
walvis bay,na,-22.96,14.51,288.77,93,0,2.6
maxixe,mz,-23.86,35.35,298.63,81,100,2.2
guaratingueta,br,-22.82,-45.19,295.15,78,40,1.42
mount isa,au,-20.73,139.5,304.15,25,0,6.2
tadine,nc,-21.55,167.88,301.41,81,100,5.37
georgetown,sh,5.41,100.34,303.56,74,20,1
bauru,br,-22.31,-49.06,296.84,69,0,2.6
quatis,br,-22.41,-44.26,291.98,98,39,1.03
karratha,au,-20.74,116.85,301.58,70,35,3.2
chiredzi,zw,-21.05,31.67,292.26,88,1,0.91
beira,mz,-19.84,34.84,297.15,94,20,2.6
hithadhoo,mv,-0.6,73.08,301.84,58,20,3.26
letlhakane,bw,-21.42,25.58,293.66,68,0,3.04
fuerte olimpo,py,-21.04,-57.87,300.59,61,22,2.06
bengkulu,id,-3.8,102.27,304,59,100,1.34
yeppoon,au,-23.13,150.73,302.15,39,0,5.7
caravelas,br,-17.71,-39.25,299.99,77,99,2.96
pangai,to,-19.8,-174.35,298.15,94,90,5.7
poum,nc,-20.23,164.02,300.72,83,100,4.61
ayr,au,55.46,-4.63,276.87,86,75,3.1
morondava,mg,-20.28,44.28,295.73,60,0,2.78
ituiutaba,br,-18.97,-49.47,294.83,86,0,2.21
port hedland,au,-20.32,118.57,306.15,46,17,4.6
namibe,ao,-15.2,12.15,297.08,73,100,2.5
mineiros,br,-17.57,-52.55,292.87,94,0,2.09
belmonte,br,-15.86,-38.88,298.15,88,75,1
toamasina,mg,-18.17,49.38,297.15,94,75,8.2
mackay,au,-21.15,149.2,301.07,48,77,7.7
lakatoro,vu,-16.1,167.42,304.11,77,100,5.7
quatre cocos,mu,-20.21,57.76,296.84,100,75,6.04
guiratinga,br,-16.35,-53.76,295.31,94,0,1.39
broome,au,42.25,-75.83,275.93,44,20,6.7
faanui,pf,-16.48,-151.75,301.52,77,100,6.48
tiarei,pf,-17.53,-149.33,306.15,59,20,2.6
ilave,pe,-16.08,-69.67,281.29,80,100,3.48
ascension,bo,30.22,-90.9,294.54,83,1,3.1
piacabucu,br,-10.41,-36.43,298.86,76,36,2.83
pisco,pe,-13.7,-76.22,295.8,83,46,6.7
pontes e lacerda,br,-15.23,-59.34,297.16,88,91,0.94
hualmay,pe,-11.1,-77.61,295.08,80,68,1.38
petauke,zm,-14.24,31.33,291.86,97,100,1.16
samarai,pg,-10.62,150.67,304.03,59,100,3.21
mareeba,au,-17,145.43,303.93,46,40,4.1
sao felipe,br,-14.82,-41.38,292.1,97,100,1.77
trinidad,bo,-14.83,-64.9,300.52,70,62,1.3
atuona,pf,-9.8,-139.03,301.37,67,34,4.09
taga,ws,46.95,24.05,274.16,82,0,1.5
honiara,sb,-9.43,159.95,304.15,70,75,5.1
antsohihy,mg,-14.88,47.99,295.4,92,100,1.55
menongue,ao,-14.66,17.69,290.24,95,100,1.35
waingapu,id,-9.66,120.26,301.33,75,1,1.89
san vicente de canete,pe,-13.08,-76.38,295.7,88,2,1.66
asau,tv,46.43,26.4,278.31,87,75,2.6
sola,vu,-13.88,167.55,302.7,75,100,6.73
howard springs,au,-12.5,131.05,306.21,62,20,5.1
maragogi,br,-9.01,-35.22,300.88,72,100,4.39
nkhata bay,mw,-11.61,34.29,299.68,72,100,4.14
pangoa,pe,-12.12,-73,294.39,98,100,0.92
padang,id,-0.95,100.35,301.95,58,34,1.02
olinda,br,-8.01,-34.86,302.15,66,40,4.6
mwinilunga,zm,-11.74,24.43,291.21,98,100,1.69
grand gaube,mu,-20.01,57.66,296.92,100,75,5.11
alta floresta,br,-9.88,-56.09,295.87,97,100,3.1
luanda,ao,-8.84,13.23,300.15,88,20,3.6
mahanje,tz,-9.93,35.33,291.91,98,100,0.55
huari,pe,-9.33,-77.23,276.59,97,88,1.1
lufilufi,ws,-13.87,-171.6,301.07,78,33,6.06
conceicao do araguaia,br,-8.26,-49.26,297.15,100,95,1.5
gizo,sb,-8.1,156.84,302.19,73,43,6.66
victoria,sc,22.29,114.16,294.71,56,20,6.2
kawalu,id,-7.38,108.21,299.16,79,100,1.48
lata,sb,40.16,-8.33,283.55,93,40,0.5
aripuana,br,-9.17,-60.63,296.92,97,100,0.52
atambua,id,-9.11,124.89,300.78,69,50,2.91
san cristobal,ec,7.77,-72.22,300.15,69,75,1
araguaina,br,-7.19,-48.21,297.12,89,100,0.95
bima,id,-8.47,118.72,301.55,73,63,2.13
jacareacanga,br,-6.22,-57.75,296.92,94,95,0.42
mauriti,br,-7.39,-38.77,297.15,88,40,0.79
contamana,pe,-7.33,-75.02,299.52,69,0,0.83
kasongo-lunda,cd,-6.47,16.82,293.97,98,100,0.56
celendin,pe,-6.87,-78.15,286.08,85,100,0.63
pastos bons,br,-6.6,-44.08,295.2,96,100,1.2
cabedelo,br,-6.98,-34.83,299.15,88,100,1
labuhan,id,-6.88,112.21,302.93,69,94,1.72
tual,id,-5.67,132.75,301.79,75,46,5.81
pamanukan,id,-6.28,107.81,303.95,65,100,0.88
panguna,pg,-6.32,155.48,303.44,57,85,3.37
omboue,ga,-1.57,9.26,297.89,94,100,0.8
auki,sb,-8.77,160.7,302.31,79,84,7.89
extremoz,br,-5.71,-35.31,297.63,94,75,1.5
itupiranga,br,-5.13,-49.33,298.15,100,75,0.79
kongolo,cd,-5.38,27,293.13,98,100,1.17
madang,pg,-5.22,145.8,302.12,74,100,9.02
coari,br,-4.08,-63.14,297.95,90,72,0.35
naberera,tz,-4.2,36.93,291.3,96,93,0.6
majene,id,-3.54,118.97,299.3,87,100,2.93
lorengau,pg,-2.02,147.27,302.27,77,1,6.84
port-gentil,ga,-0.72,8.78,301.43,78,100,3.31
meulaboh,id,4.14,96.13,300.88,77,0,1.72
buala,sb,-8.14,159.59,301.89,75,100,5.92
salinas,ec,36.68,-121.66,285.23,76,90,7.7
kampene,cd,-3.6,26.67,292.58,99,100,0.95
barroquinha,br,-3.02,-41.14,295.49,97,100,0.37
macas,ec,-2.32,-78.12,291.11,97,83,1
kabare,cd,-2.47,28.82,288.86,97,99,0.3
palora,ec,-1.7,-77.93,292.37,97,100,1.7
axim,gh,4.87,-2.24,298.56,94,0,1.31
barcelos,br,41.54,-8.62,282.24,93,0,2.1
puerto leguizamo,co,-0.19,-74.78,296.64,94,100,0.64
luwuk,id,-0.95,122.79,302.13,66,100,0.68
sibolga,id,1.74,98.78,304.33,57,0,0.85
san patricio,mx,19.22,-104.7,299.15,83,20,1.36
harper,lr,4.38,-7.72,298.12,95,35,1.27
balaipungut,id,1.05,101.28,304.08,63,27,1.02
sri aman,my,1.24,111.46,301.06,78,75,1.5
touros,br,-5.2,-35.46,297.15,94,75,1.5
bonfim,br,3.08,-59.95,301.31,59,33,4.62
bairiki,ki,1.33,172.98,303.15,74,40,1.5
sorong,id,-0.88,131.25,301.23,85,100,1.82
biak,id,-0.91,122.88,302.13,66,100,0.68
wamba,cd,8.93,8.6,294.14,16,82,1.79
acapulco,mx,16.86,-99.89,301.15,74,40,2.1
muli,mv,2.92,73.57,301.29,77,26,3.61
cururupu,br,-1.83,-44.87,296.74,97,99,0.99
pizarro,co,4.95,-77.37,299.72,81,100,2.8
amapa,br,1,-52,296.69,93,85,2.34
butaritari,ki,3.07,172.79,301.98,71,100,4.58
itarema,br,-2.92,-39.92,296.46,98,100,1.54
yenagoa,ng,4.92,6.26,298.96,90,100,0.67
bumba,cd,2.18,22.47,295.12,92,100,1.76
kudahuvadhoo,mv,2.67,72.89,301.53,76,70,4.82
hilo,us,19.73,-155.09,294,78,90,5.1
kloulklubed,pw,7.04,134.26,303.15,66,75,5.7
mahibadhoo,mv,3.78,72.97,302.07,71,0,4.01
banda aceh,id,5.56,95.32,302.27,66,0,2.47
abong mbang,cm,3.98,13.18,296.32,72,37,0.69
jardim,br,-21.48,-56.14,298.38,72,0,2.37
tawau,my,4.25,117.89,303.97,66,20,1
mani,co,4.82,-72.29,303.27,47,100,2.43
bandarbeyla,so,9.49,50.81,299.09,80,85,7.53
lazaro cardenas,mx,17.96,-102.2,297.83,82,34,0.9
sao filipe,cv,14.9,-24.5,297.07,57,100,5.72
goderich,sl,43.75,-81.72,275,80,2,5.36
bouca,cf,6.51,18.27,292.76,16,69,0.81
champerico,gt,14.3,-91.92,299.1,72,20,1.95
ixtapa,mx,20.7,-105.2,298.15,83,5,3.1
bekwai,gh,6.45,-1.58,296.88,94,9,1.12
kanniyakumari,in,8.08,77.57,300.59,73,1,8.2
pochutla,mx,15.74,-96.47,300.23,74,40,4.1
bubaque,gw,11.28,-15.83,300.85,60,0,5.5
makakilo city,us,21.35,-158.09,296.38,88,90,2.6
cabo san lucas,mx,22.89,-109.91,294.71,60,75,3.6
parrita,cr,9.52,-84.32,295.15,68,20,6.2
port blair,in,11.67,92.75,297.15,88,40,1
mabuhay,ph,7.42,122.84,302.71,63,20,2.45
airai,pw,-8.93,125.41,301.15,45,12,3.18
kavieng,pg,-2.57,150.8,301.7,78,5,6.03
wukari,ng,7.85,9.78,294.27,16,37,2.28
zaraza,ve,9.35,-65.32,297.26,79,24,4.51
santa cruz,cr,-17.8,-63.17,301.15,74,32,2.6
dhidhdhoo,mv,6.88,73.1,301.72,77,0,6.36
sinnamary,gf,5.38,-52.95,300.09,81,19,8.24
sabang,id,5.89,95.32,302.02,75,0,6.96
ca mau,vn,9.18,105.15,306.78,43,0,4.58
kapaa,us,22.08,-159.32,296.82,60,90,4.1
puerto escondido,mx,15.85,-97.07,300.15,88,40,1.5
el vigia,ve,8.62,-71.65,292.95,86,32,0.24
saint-georges,gf,12.06,-61.75,299.15,78,20,4.1
kavaratti,in,10.57,72.64,300.19,81,28,6.99
jalingo,ng,8.88,11.37,294.38,15,1,3.08
nikki,bj,9.94,3.21,296.56,59,13,0.88
kindia,gn,10.06,-12.87,291.91,85,0,0.95
pedraza,co,10.19,-74.92,296.63,77,5,2.94
navrongo,gh,10.9,-1.09,301.47,27,18,3.81
cartagena,co,10.4,-75.51,299.15,78,20,6.2
acarau,br,-2.89,-40.12,296.46,98,100,1.54
tagusao,ph,9.19,117.81,302.02,62,64,3.43
tecoanapa,mx,16.52,-98.75,296.6,85,0,0.59
santa catalina,co,9.33,122.86,303.15,62,20,5.1
la asuncion,ve,11.03,-63.86,299.15,83,2,7.2
dutse,ng,11.76,9.34,289.84,27,0,3.6
ocos,gt,14.51,-92.19,301.15,78,75,1.95
malumfashi,ng,11.79,7.62,290.59,22,0,5.04
bokoro,td,12.38,17.06,290.31,24,28,4.97
gashua,ng,12.87,11.05,290.71,25,54,4.33
riohacha,co,11.54,-72.91,297.79,83,1,5.96
aden,ye,12.78,45.04,295.67,72,48,5.1
tuy hoa,vn,13.08,109.3,298.63,79,70,0.53
santa marta,co,11.24,-74.2,301.38,54,14,4.6
rincon,an,32.3,-81.24,293,83,75,1.59
malpe,in,13.35,74.72,297.15,83,20,2.1
diffa,ne,13.32,12.61,289.97,50,0,4.27
mao,td,39.89,4.27,285.15,76,20,4.1
kanchanaburi,th,14.63,99.1,307.09,29,0,0.45
praia,cv,14.92,-23.51,297.15,31,81,5.7
guerrero negro,mx,27.98,-114.06,290.19,71,1,4.5
nara,ml,34.69,135.8,282.17,93,75,1.5
manzanillo,mx,20.34,-77.12,296.16,77,1,2.63
ponta do sol,cv,32.67,-17.1,288.37,59,75,5.7
mormugao,in,15.4,73.8,298.74,44,0,0.47
nioro,ml,13.35,-15.75,297.02,13,0,3.27
wanning,cn,18.8,110.4,298.94,80,79,2.04
salalah,om,17.02,54.09,295.15,64,23,2.1
da nang,vn,16.07,108.22,300.15,78,75,2.6
ribeira brava,cv,32.65,-17.07,288.38,59,75,5.7
gigmoto,ph,13.78,124.39,300.26,74,16,4.31
srivardhan,in,18.03,73.02,295.42,40,0,4.69
dudhani,in,17.37,76.37,300.25,30,73,4.89
dong hoi,vn,17.48,106.6,297.55,87,100,2.23
marawi,sd,8,124.29,300.37,77,91,2.68
araouane,ml,18.9,-3.53,295.8,12,0,2.54
las choapas,mx,17.93,-94.08,299.15,74,40,5.1
puri,in,19.8,85.85,297.15,100,20,2.45
road town,vg,18.42,-64.62,297.65,83,1,1.5
lingao,cn,19.91,109.69,295.42,89,77,6.25
codrington,ag,-38.27,141.97,286.89,67,80,7.69
najran,sa,17.49,44.13,292.15,29,97,4.28
pyay,mm,18.82,95.22,308,26,30,0.27
itoman,jp,26.12,127.67,290.82,82,75,13.4
constitucion,mx,-35.33,-72.42,287.16,81,28,3.11
bathsheba,bb,13.22,-59.52,298.15,78,40,8.7
faya,td,18.39,42.45,286.64,87,100,3.1
thayetmyo,mm,19.32,95.18,309.79,22,0,0.63
chiang rai,th,19.91,99.83,295.19,77,64,0.85
arlit,ne,18.74,7.39,289.73,18,0,2.56
campeche,mx,19,-90.5,299.16,51,0,2.23
katsuura,jp,35.13,140.3,279.94,87,75,9.8
the valley,ai,18.22,-63.06,298.96,78,40,2.1
riyadh,sa,24.69,46.72,297.15,23,75,3.1
diu,in,20.71,70.98,296.66,43,0,9.3
cueto,cu,20.64,-75.94,297.15,78,0,4.1
atar,mr,20.52,-13.05,293.27,12,0,3.47
baracoa,cu,20.35,-74.5,298.25,81,17,5.85
kahului,us,20.89,-156.47,295.15,73,90,3.6
san juan,us,-31.54,-68.54,304.05,29,11,4.52
nouadhibou,mr,20.93,-17.03,293.15,64,0,3.1
cuauhtemoc,mx,28.42,-106.87,285.37,57,100,4.47
sur,om,22.57,59.53,292.27,27,100,0.94
celestun,mx,20.87,-90.4,298.08,81,0,11.82
